Laptop,Status,Brand,Country_code,Model,CPU,RAM,Storage,Storage type,Screen,Touch,Price
"Dynabook Toshiba Port茅g茅 X30W-J-148 Intel Core i5-1135G7/16GB/512GB SSD/13.3"" T谩ctil",New,Dynabook Toshiba,LC,Port茅g茅,Intel Core i5,16,512,SSD,13.3,Yes,1779.99
"Dynabook Toshiba Port茅g茅 X30W-K-114 Intel Core i5-1240P/16GB/512GB SSD/13.3"" T谩ctil",New,Dynabook Toshiba,LI,Port茅g茅,Intel Core i5,16,512,SSD,13.3,Yes,1581
"Dynabook Toshiba Satellite Pro A50-F-107 Intel Core i3-8145U/8GB/256GB SSD/15.6""",New,Dynabook Toshiba,LK,Satellite Pro,Intel Core i3,8,256,SSD,15.6,No,734.64
"Dynabook Toshiba Satellite Pro C50-H-10C Intel Core i3-1005G1/8GB/512GB SSD/15.6""",Refurbished,Dynabook Toshiba,LR,Satellite Pro,Intel Core i3,8,512,SSD,15.6,No,397.29
"Dynabook Toshiba Tecra A50-J-13Y Intel Core i5-1135G7/8GB/512GB SSD/15.6""",New,Dynabook Toshiba,LS,Tecra,Intel Core i5,8,512,SSD,15.6,No,1093.01
"Gigabyte AERO 15 OLED YD-73ES624SP Intel Core i7-11800H/16GB/1TB SSD/RTX 3080/15.6""",New,Gigabyte,LT,Aero,Intel Core i7,16,1000,SSD,15.6,No,2835.19
"Gigabyte AERO 16 XE5-73PT938HP Intel Core i7-12700H/16GB/2TB SSD/RTX 3070Ti/16"" (PT)",New,Gigabyte,LU,Aero,Intel Core i7,16,2000,SSD,16,No,2317
"Gigabyte AERO 17 XE5-73PT738HP Intel Core i7-12700H/16GB/2TB SSD/RTX 3070Ti/17.3"" (PT)",New,Gigabyte,LV,Aero,Intel Core i7,16,2000,SSD,17.3,No,2228.59
"Gigabyte AORUS 15 XE4-73ESB14SH Intel Core i7-12700H/16GB/1TB SSD/RTX 3070Ti/15.6""",New,Gigabyte,LY,Aorus,Intel Core i7,16,1000,SSD,15.6,No,2299
"Gigabyte AORUS 15X ASF-83ES654SH Intel Core i7-13700HX/16GB/1TB SSD/RTX 4070/15.6""",New,Gigabyte,MA,Aorus,Intel Core i7,16,1000,SSD,15.6,No,2511
