Laptop,Status,Brand,Country_code,Model,CPU,RAM,Storage,Storage type,Screen,Touch,Price
"ASUS ExpertBook B1 B1502CBA-EJ0436X Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,Asus,AD,ExpertBook,Intel Core i5,8,512,SSD,15.6,No,1009
"Alurin Go Start Intel Celeron N4020/8GB/256GB SSD/15.6""",New,Alurin,AE,Go,Intel Celeron,8,256,SSD,15.6,No,299
"ASUS ExpertBook B1 B1502CBA-EJ0424X Intel Core i3-1215U/8GB/256GB SSD/15.6""",New,Asus,AF,ExpertBook,Intel Core i3,8,256,SSD,15.6,No,789
"MSI Katana GF66 12UC-082XES Intel Core i7-12700H/16GB/1TB SSD/RTX3050/15.6""",New,MSI,AG,Katana,Intel Core i7,16,1000,SSD,15.6,No,1199
"HP 15S-FQ5085NS Intel Core i5-1235U/16GB/512GB SSD/15.6""",New,HP,AI,15S,Intel Core i5,16,512,SSD,15.6,No,669.01
"MSI Crosshair 17 C12VF-264XES Intel Core i7-12650H/32GB/1TB SSD/RTX 4060/17.3""",New,MSI,AL,Crosshair,Intel Core i7,32,1000,SSD,17.3,No,1699
"Lenovo Thinkpad E14 Gen 4 AMD Ryzen 5 5625U/8GB/256GB SSD/14""",New,Lenovo,AM,ThinkPad,AMD Ryzen 5,8,256,SSD,14,No,909
"ASUS VivoBook 15 F515JA-EJ2882W Intel Core i7-1065G7/8GB/512GB SSD/15.6""",New,Asus,AN,VivoBook,Intel Core i7,8,512,SSD,15.6,No,809.01
"Medion Akoya E15415 Intel Core i5-10210U/8GB/256GB SSD/15.6""",New,Medion,AO,Akoya,Intel Core i5,8,256,SSD,15.6,No,519
"HP Victus 16-d1038ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3050/16.1""",New,HP,AQ,Victus,Intel Core i7,16,512,SSD,16.1,No,1149
"Lenovo V15 IGL Intel Celeron N4020/8GB/256 GB SSD/15.6""",New,Lenovo,AR,V15,Intel Celeron,8,256,SSD,15.6,No,349
"MSI Thin GF63 12VE-021XES Intel Core i7-12650H/16GB/1TB SSD/RTX 4050/15.6""",New,MSI,AS,Thin,Intel Core i7,16,1000,SSD,15.6,No,1399
"ASUS ROG Strix G15 G513RC-HN088 AMD Ryzen 7 6800H/16GB/512GB SSD/RTX 3050/15.6""",New,Asus,AT,ROG,AMD Ryzen 7,16,512,SSD,15.6,No,1199
"Lenovo V15 G3 ABA AMD Ryzen 5 5625U/16GB/512GB SSD/15.6""",New,Lenovo,AU,V15,AMD Ryzen 5,16,512,SSD,15.6,No,476.99
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U/8GB/256GB SSD/15.6""",New,Lenovo,AW,IdeaPad,AMD Ryzen 3,8,256,SSD,15.6,No,391
"HP 15S-FQ5013NS Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,HP,AZ,15S,Intel Core i5,8,512,SSD,15.6,No,699
"Lenovo IdeaPad 3 15IAU7 Intel Core i5-1235U/16GB/512GB SSD/15.6""",New,Lenovo,BA,IdeaPad,Intel Core i5,16,512,SSD,15.6,No,799
"HP 15S-FQ2163NS Intel Core i3-1115G4/8GB/512GB SSD/15.6""",New,HP,BB,15S,Intel Core i3,8,512,SSD,15.6,No,549
"ASUS VivoBook 15 F515JA-EJ4134 Intel Core i7-1065G7/8GB/512GB SSD/15.6""",New,Asus,BD,VivoBook,Intel Core i7,8,512,SSD,15.6,No,769
"MSI GF63 Thin 11UC-446XES Intel Core i7-11800H/16GB/512GB SSD/RTX 3050/15.6""",New,MSI,BE,Thin,Intel Core i7,16,512,SSD,15.6,No,999
"MSI Cyborg 15 A12VF-098XES Intel Core i5-12450H/16GB/1TB SSD/RTX 4060/15.6""",New,MSI,BF,Cyborg,Intel Core i5,16,1000,SSD,15.6,No,1249
"ASUS M515UA-EJ486W AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",New,Asus,BG,M515UA,AMD Ryzen 7,16,512,SSD,15.6,No,789
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",New,Lenovo,BH,IdeaPad,AMD Ryzen 7,16,512,SSD,15.6,No,729
"ASUS TUF Gaming F15 FX506HC-HN004 Intel Core i5-11400H/16GB/512GB SSD/RTX 3050/15.6""",New,Asus,BI,TUF,Intel Core i5,16,512,SSD,15.6,No,1099
"Acer Aspire 3 A315-59-37GX Intel Core i3-1215U/8GB/256GB SSD/15.6""",New,Acer,BJ,Aspire,Intel Core i3,8,256,SSD,15.6,No,539.01
"ASUS TUF Gaming F15 FX507ZC4-HN002 Intel Core i7-12700H/16GB/512GB SSD/RTX 3050/15.6""",New,Asus,BM,TUF,Intel Core i7,16,512,SSD,15.6,No,1179
"Alurin Go Start Intel Celeron N4020/8GB/256GB SSD/14""",New,Alurin,BN,Go,Intel Celeron,8,256,SSD,14,No,239
"HP Victus 15-fa0012ns Intel Core i5-12500H/16GB/512GB SSD/RTX 3050/15.6""",New,HP,BO,Victus,Intel Core i5,16,512,SSD,15.6,No,999
"HP Pavilion 15-eh1004ns AMD Ryzen 5 5500U/16GB/512GB SSD/15.6""",New,HP,BR,Pavilion,AMD Ryzen 5,16,512,SSD,15.6,No,799
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/8GB/512GB SSD/15.6""",New,Lenovo,BS,IdeaPad,Intel Core i5,8,512,SSD,15.6,No,519.01
"HP 15S-FQ5028NS Intel Core i5-1235U/16GB/512GB SSD/15.6""",New,HP,BT,15S,Intel Core i5,16,512,SSD,15.6,No,789
"MSI Katana 15 B12VFK-095XES Intel Core i7-12650H/16GB/512GB SSD/RTX 4060/15.6""",New,MSI,BV,Katana,Intel Core i7,16,512,SSD,15.6,No,1549
"ASUS VivoBook F1500EA-EJ2384W Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,Asus,BW,VivoBook,Intel Core i3,8,256,SSD,15.6,No,539.01
"HP 15S-fq2159ns Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,HP,BY,15S,Intel Core i3,8,256,SSD,15.6,No,539
"MSI Vector GP77 13VF-022XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/17.3""",New,MSI,BZ,Vector,Intel Core i7,32,1000,SSD,17.3,No,2249
"ASUS VivoBook Pro 15 OLED M6500QC-L1010W AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050/15.6""",New,Asus,CA,VivoBook,AMD Ryzen 7,16,512,SSD,15.6,No,1299.01
"ASUS ROG Strix G15 G513RC-HF094 AMD Ryzen 7 6800H/16GB/512GB SSD/RTX3050/15.6""",New,Asus,CC,ROG,AMD Ryzen 7,16,512,SSD,15.6,No,1139.01
"ASUS Chromebook CX1500CNA-EJ0100 Intel Celeron N3350/8GB/64GB eMMC/15.6""",New,Asus,CD,Chromebook,Intel Celeron,8,64,eMMC,15.6,No,399
"HP 15S-fq5101ns Intel Core i7-1255U/16GB/512GB SSD/15.6""",New,HP,CF,15S,Intel Core i7,16,512,SSD,15.6,No,789
"HP 15S-EQ2090NS AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,HP,CG,15S,AMD Ryzen 5,8,512,SSD,15.6,No,599.01
HP Omen 16-b1022ns Intel Core i7-12700H/32GB/1TB SSD/RTX 3060/16.1'',New,HP,CH,Omen,Intel Core i7,32,1000,SSD,16.1,No,1699
"ASUS VivoBook 15 F1502ZA-EJ733 Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,Asus,CI,VivoBook,Intel Core i5,8,512,SSD,15.6,No,609
"Asus ZenBook 13 OLED UX325EA-KG245 Intel Core i7-1165G7/16GB/512GB SSD/13.3""",New,Asus,CK,ZenBook,Intel Core i7,16,512,SSD,13.3,No,1089
HP Victus 16-d1033ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3060/16.1'',New,HP,CL,Victus,Intel Core i7,16,512,SSD,16.1,No,1399
"HP 15S-fq5055ns Intel Core i7-1255U/16GB/512GB SSD/15.6""",New,HP,CM,15S,Intel Core i7,16,512,SSD,15.6,No,899.01
"HP 15S-eq2087ns AMD Ryzen 5 5500U/12GB/512GB SSD/15.6""",New,HP,CN,15S,AMD Ryzen 5,12,512,SSD,15.6,No,549
"Lenovo IdeaPad Gaming 3 15IHU6 Intel Core i5-11320H/16GB/512GB SSD/RTX3050/15.6""",New,Lenovo,CO,IdeaPad,Intel Core i5,16,512,SSD,15.6,No,929
"MSI Creator M16 B13VE-682XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4050/16""",New,MSI,CR,Creator,Intel Core i7,32,1000,SSD,16,No,1899.01
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",New,Lenovo,CU,IdeaPad,AMD Ryzen 7,16,512,SSD,15.6,No,829
"HP 15S-fq2158ns Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,HP,CV,15S,Intel Core i3,8,256,SSD,15.6,No,449
"Apple MacBook Air Apple M1/8GB/256GB SSD/GPU Hepta Core/13.3"" Gris Espacial",New,Apple,CX,MacBook Air,Apple M1,8,256,SSD,13.3,No,1219
"Lenovo ThinkBook 14 Intel Core i5-1135G7/8GB/256GB SSD/14""",New,Lenovo,CY,ThinkBook,Intel Core i5,8,256,SSD,14,No,699
"ASUS TUF Gaming A15 2023 FA507NV-LP041 AMD Ryzen 7 7735HS/16GB/1TB SSD/RTX 4060/15.6""",New,Asus,CZ,TUF,AMD Ryzen 7,16,1000,SSD,15.6,No,1349
"MSI Katana 15 B12VGK-094XES Intel Core i7-12650H/16GB/1TB SSD/RTX 4070/15.6""",New,MSI,DE,Katana,Intel Core i7,16,1000,SSD,15.6,No,1699
"ASUS M515UA-EJ522W AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,Asus,DJ,M515UA,AMD Ryzen 5,8,512,SSD,15.6,No,699
"HP Victus 16-e0101ns AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3060/16.1""",New,HP,DK,Victus,AMD Ryzen 7,16,512,SSD,16.1,No,1299.01
"HP 250 G9 Intel Celeron N4500/8 GB/256GB SSD/15.6""",New,HP,DM,250,Intel Celeron,8,256,SSD,15.6,No,399
"HP OMEN 16-C0042NS AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050 Ti/16.1""",New,HP,DO,Omen,AMD Ryzen 7,16,512,SSD,16.1,No,1149
"MSI Modern 15 B7M-041XES AMD Ryzen 5 7530U/16GB/512GB SSD/15.6""",New,MSI,DZ,Modern,AMD Ryzen 5,16,512,SSD,15.6,No,839
"HP 255 G9 AMD Athlon 3020e/8GB/512GB SSD/15.6""",New,HP,EC,255,AMD Athlon,8,512,SSD,15.6,No,379
"ASUS VivoBook 15 F1500EA-EJ3022 Intel Core i7-1165G7/16GB/512GB SSD/15.6""",New,Asus,EE,VivoBook,Intel Core i7,16,512,SSD,15.6,No,809.01
"Lenovo V15 G2 ITL Intel Core i5-1135G7/8 GB/512 GB SSD/15.6""",New,Lenovo,EG,V15,Intel Core i5,8,512,SSD,15.6,No,779
"ASUS VivoBook 15 F1500EA-EJ3023 Intel Core i7-1165G7/8GB/512GB SSD/15.6""",New,Asus,EH,VivoBook,Intel Core i7,8,512,SSD,15.6,No,749
"MSI Thin GF63 12VE-009XES Intel Core i5-12450H/16GB/512GB SSD/RTX 4050/15.6""",New,MSI,ER,Thin,Intel Core i5,16,512,SSD,15.6,No,1099
"MSI Modern 15 B13M-281XES Intel Core i7-1355U/16GB/1TB SSD/15.6""",New,MSI,ES,Modern,Intel Core i7,16,1000,SSD,15.6,No,999
"HP 15S-eq2088ns AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",New,HP,ET,15S,AMD Ryzen 7,16,512,SSD,15.6,No,649.01
"MSI Vector GP77 13VG-021XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4070/17.3""",New,MSI,FI,Vector,Intel Core i7,32,1000,SSD,17.3,No,2499
"ASUS VivoBook 15 F1500EA-EJ3067W Intel Core i7-1165G7/8GB/512GB SSD/15.6""",New,Asus,FJ,VivoBook,Intel Core i7,8,512,SSD,15.6,No,859
"MSI Creator M16 B12UDX-809XES Intel Core i7-12650H/32GB/1TB SSD/RTX 3050/16""",New,MSI,FK,Creator,Intel Core i7,32,1000,SSD,16,No,1499.01
"Apple Macbook Pro Apple M2/8GB/256GB SSD/GPU Deca Core/13.3"" Plata",New,Apple,FM,MacBook Pro,Apple M2,8,256,SSD,13.3,No,1599
"ASUS TUF Gaming A15 2023 FA507XI-LP024 AMD Ryzen 9 7940HS/32GB/512GB SSD/RTX 4070/15.6""",New,Asus,FO,TUF,AMD Ryzen 9,32,512,SSD,15.6,No,1699.01
"MSI Katana 15 B13VFK-031XES Intel Core i7-13620H/16GB/1TB SSD/RTX 4060/15.6""",New,MSI,FR,Katana,Intel Core i7,16,1000,SSD,15.6,No,1699
"HP Victus 16-d1021ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3050Ti/16.1""",New,HP,GA,Victus,Intel Core i7,16,512,SSD,16.1,No,1199
"MSI Modern 14 C13M-426XES Intel Core i7-1355U/16GB/1TB SSD/14""",New,MSI,GB,Modern,Intel Core i7,16,1000,SSD,14,No,999
"MSI Modern 15 B12M-430XES Intel Core i3-1215U/8GB/256GB SSD/15.6""",New,MSI,GD,Modern,Intel Core i3,8,256,SSD,15.6,No,499
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",New,Lenovo,GE,IdeaPad,AMD Ryzen 3,8,256,SSD,15.6,No,499
"MSI Prestige 14H B12UCX-414XES Intel Core i5-12450H/16GB/512GB SSD/RTX 2050/14""",New,MSI,GF,Prestige,Intel Core i5,16,512,SSD,14,No,999
"Lenovo IdeaPad 3 15ITL6 Intel Core i7-1165G7/16GB/512 GB SSD/15.6""",New,Lenovo,GG,IdeaPad,Intel Core i7,16,512,SSD,15.6,No,749
"Lenovo ThinkBook 15 G2 ITL Intel Core i5-1135G7/8 GB/256GB SSD/15.6"" Gris",New,Lenovo,GH,ThinkBook,Intel Core i5,8,256,SSD,15.6,No,879
"MSI Prestige 14H B12UCX-413XES Intel Core i7-12650H/16GB/1TB SSD/RTX 2050/14""",New,MSI,GI,Prestige,Intel Core i7,16,1000,SSD,14,No,1489
"HP Pavilion 15-eg2004ns Intel Core i7-1255U/16GB/512GB SSD/15.6""",New,HP,GL,Pavilion,Intel Core i7,16,512,SSD,15.6,No,999
"HP Victus 15-fa0026ns Intel Core i5-12450H/16GB/512GB SSD/GTX 1650/15.6""",New,HP,GM,Victus,Intel Core i5,16,512,SSD,15.6,No,999
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/8 GB/512GB SSD/15.6""",New,Lenovo,GN,IdeaPad,Intel Core i5,8,512,SSD,15.6,No,589
"Lenovo ThinkBook 14 G4 IAP Intel Core i5-1235U/8GB/256GB SSD/14""",New,Lenovo,GP,ThinkBook,Intel Core i5,8,256,SSD,14,No,959
"HP Victus 15-fa0004ns Intel Core i5-12500H/16GB/512GB SSD/GTX 1650/15.6""",New,HP,GQ,Victus,Intel Core i5,16,512,SSD,15.6,No,1039
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 5 5500U/8GB/512GBSSD/15.6""",New,Lenovo,GR,IdeaPad,AMD Ryzen 5,8,512,SSD,15.6,No,599
"HP 15S-fq5094ns Intel Core i7-1255U/8GB/512GB SSD/15.6""",New,HP,GS,15S,Intel Core i7,8,512,SSD,15.6,No,739.01
"MSI Stealth 16 Studio A13VF-038XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/16""",New,MSI,GT,Stealth,Intel Core i7,32,1000,SSD,16,No,2449
"Acer Aspire 5 A515-57-76BV Intel Core i7-1255U/8GB/512GB SSD/15.6""",New,Acer,GU,Aspire,Intel Core i7,8,512,SSD,15.6,No,839
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 3 5300U/8 GB/256GB SSD/15.6""",New,Lenovo,GW,IdeaPad,AMD Ryzen 3,8,256,SSD,15.6,No,499
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U/8 GB/512GB SSD/15.6""",New,Lenovo,GY,IdeaPad,AMD Ryzen 7,8,512,SSD,15.6,No,699
"MSI Pulse 15 B13VFK-448XES Intel Core i9-13900H/32GB/1TB SSD/RTX 4060/15.6""",New,MSI,GZ,Pulse,Intel Core i9,32,1000,SSD,15.6,No,2399.01
"Lenovo IdeaPad 1 15ADA7 AMD 3020e/4GB/128GB SSD/15.6""",New,Lenovo,HK,IdeaPad,AMD 3020e,4,128,SSD,15.6,No,442.99
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 5 5500U/8 GB/512GB SSD/15.6""",New,Lenovo,HM,IdeaPad,AMD Ryzen 5,8,512,SSD,15.6,No,689.01
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/16 GB/512GB SSD/15.6""",New,Lenovo,HN,IdeaPad,Intel Core i5,16,512,SSD,15.6,No,749
"Lenovo IdeaPad 1 15ADA7 AMD 3020e/4GB/256GB SSD/15.6""",New,Lenovo,HR,IdeaPad,AMD 3020e,4,256,SSD,15.6,No,321.99
"MSI Modern 15 B11M-043XES Intel Core i5-1155G7/8GB/512GB SSD/15.6""",New,MSI,HT,Modern,Intel Core i5,8,512,SSD,15.6,No,599
"ASUS ZenBook 13 OLED UX325EA-KG448W Intel Core i7-1165G7/16GB/512GB SSD/13.3""",New,Asus,HU,ZenBook,Intel Core i7,16,512,SSD,13.3,No,1199
"ASUS TUF Gaming F15 FX506HF-HN004 Intel Core i5-11400H/16GB/512GB SSD/RTX 2050/15.6""",New,Asus,ID,TUF,Intel Core i5,16,512,SSD,15.6,No,949
"ASUS VivoBook F1605PA-MB125W Intel Core i5-11300H/16GB/512GB SSD/16""",New,Asus,IE,VivoBook,Intel Core i5,16,512,SSD,16,No,799
"Razer Blade 15 Advanced Model QHD Intel Core i7-12800H/16GB/1TB SSD/RTX 3070Ti/15.6""",New,Razer,IL,Blade,Intel Core i7,16,1000,SSD,15.6,No,3299.99
"Medion Akoya E15301 AMD Ryzen 7 3700U/8 GB/256GB SSD/15.6""",New,Medion,IM,Akoya,AMD Ryzen 7,8,256,SSD,15.6,No,478.99
"ASUS ExpertBook B1 B1502CBA-EJ0469X Intel Core i5-1235U/8GB/256GB SSD/15.6""",New,Asus,IN,ExpertBook,Intel Core i5,8,256,SSD,15.6,No,989
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U/8 GB/256GB SSD/15.6""",New,Lenovo,IO,IdeaPad,AMD Ryzen 3,8,256,SSD,15.6,No,439.99
"HP 15S-eq2089ns AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",New,HP,IQ,15S,AMD Ryzen 3,8,256,SSD,15.6,No,529
"ASUS VivoBook F1605PA-MB143 Intel Core i7-11370H/8GB/512GB SSD/16""",New,Asus,IR,VivoBook,Intel Core i7,8,512,SSD,16,No,709
"ASUS Vivobook Go E1504FA-BQ204W AMD Ryzen 5 7520U/8GB/512GB SSD/Radeon 610M/15.6""",New,Asus,IS,VivoBook,AMD Ryzen 5,8,512,SSD,15.6,No,509.99
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,Lenovo,IT,IdeaPad,AMD Ryzen 5,8,512,SSD,15.6,No,659
"Lenovo IdeaPad 3 15ITL6 Intel Core i7-1165G7/16GB/512GBSSD/15.6""",New,Lenovo,JE,IdeaPad,Intel Core i7,16,512,SSD,15.6,No,749
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U/8GB/512 GB SSD/15.6""",New,Lenovo,JM,IdeaPad,AMD Ryzen 7,8,512,SSD,15.6,No,589
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 5 5500U/8 GB/512GB SSD/15.6""",New,Lenovo,JO,IdeaPad,AMD Ryzen 5,8,512,SSD,15.6,No,549
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 3 5300U/8GB/256 GB SSD/15.6""",New,Lenovo,JP,IdeaPad,AMD Ryzen 3,8,256,SSD,15.6,No,459
"ASUS VivoBook F1605PA-MB124W Intel Core i7-11370H/8GB/512GB SSD/16""",New,Asus,KE,VivoBook,Intel Core i7,8,512,SSD,16,No,819
"ASUS VivoBook F1605PA-MB146 Intel Core i5-11300H/8GB/512GB SSD/16""",New,Asus,KG,VivoBook,Intel Core i5,8,512,SSD,16,No,609.01
"ASUS ZenBook 14 UM425QA-KI252 AMD Ryzen 7 5800H/16GB/512GB SSD/14""",New,Asus,KH,ZenBook,AMD Ryzen 7,16,512,SSD,14,No,999
"Acer Aspire 3 A315-59-504M Intel Core i5-1235U/16GB/512GB SSD/15.6""",New,Acer,KI,Aspire,Intel Core i5,16,512,SSD,15.6,No,739.01
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i7-12700H/16GB/512GB SSD/RTX3060/15.6""",New,Lenovo,KM,IdeaPad,Intel Core i7,16,512,SSD,15.6,No,1399
"ASUS VivoBook F1500EA-EJ3070W Intel Core i5-1135G7/16GB/512GB SSD/15.6""",New,Asus,KN,VivoBook,Intel Core i5,16,512,SSD,15.6,No,759.01
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 5 5500U/16GB/512GB SSD/15.6""",New,Lenovo,KP,IdeaPad,AMD Ryzen 5,16,512,SSD,15.6,No,729
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/16GB/512GB SSD/15.6""",New,Lenovo,KR,IdeaPad,Intel Core i5,16,512,SSD,15.6,No,749
"HP 255 G9 AMD Athlon 3020e/8GB/256GB SSD/15.6""",New,HP,KW,255,AMD Athlon,8,256,SSD,15.6,No,349
"Lenovo IdeaPad 3 15ITL6 Intel Core i3-1115G4/8 GB/256GBSSD/15.6""",New,Lenovo,KY,IdeaPad,Intel Core i3,8,256,SSD,15.6,No,479
"HP 255 G9 AMD Ryzen 5 5625U/16GB/512 GB SSD/15.6""",New,HP,KZ,255,AMD Ryzen 5,16,512,SSD,15.6,No,873.29
"Lenovo IdeaPad 5 15ALC05 AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,Lenovo,LA,IdeaPad,AMD Ryzen 5,8,512,SSD,15.6,No,589
"ASUS Chromebook CX1400CKA-EK0138 Intel Celeron N4500/8GB/64GB eMMC/14""",New,Asus,LB,Chromebook,Intel Celeron,8,64,eMMC,14,No,399.01
"Lenovo Legion 5 15ACH6H AMD Ryzen 7 5800H/16GB/512GB SSD/RTX3050Ti/15.6""",New,Lenovo,LC,Legion,AMD Ryzen 7,16,512,SSD,15.6,No,1079.01
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1135G7/8GB/512GB SSD/15.6"" Azul",New,Lenovo,LI,IdeaPad,Intel Core i5,8,512,SSD,15.6,No,649
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050Ti/15.6""",New,Lenovo,LK,IdeaPad,AMD Ryzen 7,16,512,SSD,15.6,No,999
"Lenovo ThinkBook 14 G2 ITL Intel Core i5-1135G7/16 GB/512GB SSD/14""",New,Lenovo,LR,ThinkBook,Intel Core i5,16,512,SSD,14,No,1019
"MSI Pulse GL76 12UEK-828XES Intel Core i7-12700H/32GB/1TB SSD/RTX 3060/17.3""",New,MSI,LS,Pulse,Intel Core i7,32,1000,SSD,17.3,No,1499
"Apple Macbook Air Apple M2/8GB/256GB SSD/GPU Octa Core/13.6"" Gris Espacial",New,Apple,LT,MacBook Air,Apple M2,8,256,SSD,13.6,No,1519
"Acer Aspire 3 A317-53-53U0 Intel Core i5-1135G7/8GB/512GB SSD/17.3""",New,Acer,LU,Aspire,Intel Core i5,8,512,SSD,17.3,No,729
"MSI Raider GE68HX 13VF-045XES Intel Core i9-13950HX/32GB/1TB SSD/RTX 4060/16""",New,MSI,LV,Raider,Intel Core i9,32,1000,SSD,16,No,2599
"HP 15S-fq4042ns Intel Core i7-1195G7/8GB/512GB SSD/15.6""",New,HP,LY,15S,Intel Core i7,8,512,SSD,15.6,No,699
"Lenovo Legion 5 15IAH7H Intel Core i7-12700H/16GB/512GB SSD/RTX3060/15.6""",New,Lenovo,MA,Legion,Intel Core i7,16,512,SSD,15.6,No,1599
"HP ProBook 450 G8 Intel Core i5-1135G7/8 GB/256GB SSD/15.6""",New,HP,MC,ProBook,Intel Core i5,8,256,SSD,15.6,No,739.01
"ASUS VivoBook 15 F1500EA-EJ3021 Intel Core i5-1135G7/16GB/512GB SSD/15.6""",New,Asus,MD,VivoBook,Intel Core i5,16,512,SSD,15.6,No,709
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i5-12500H/16 GB/512GB SSD/RTX3050Ti/15.6""",New,Lenovo,ME,IdeaPad,Intel Core i5,16,512,SSD,15.6,No,1059
"MSI Modern 14 C13M-447XES Intel Core i5-1335U/16GB/512GB SSD/14""",New,MSI,MG,Modern,Intel Core i5,16,512,SSD,14,No,799
"MSI Modern 14 C12M-017XES Intel Core i7-1255U/16GB/512GB SSD/14""",New,MSI,MH,Modern,Intel Core i7,16,512,SSD,14,No,999
"Lenovo IdeaPad 3 15ITL6 Intel Core i7-1165G7/16 GB/512GB SSD/15.6""",Refurbished,Lenovo,MK,IdeaPad,Intel Core i7,16,512,SSD,15.6,No,899
"MSI Pulse 15 B13VGK-433XES Intel Core i9-13900H/32GB/1TB SSD/RTX 4070/15.6""",New,MSI,ML,Pulse,Intel Core i9,32,1000,SSD,15.6,No,2299
MSI Stealth 15 A13VF-028XES Intel Core i7-13620H/32GB/1TB SSD/RTX 4060/15.6'',New,MSI,MM,Stealth,Intel Core i7,32,1000,SSD,15.6,No,1899
"ASUS Chromebook CX1400FKA-EC0078 Intel Celeron N4500/8GB/64GB eMMC/14"" T谩ctil",New,Asus,MN,Chromebook,Intel Celeron,8,64,eMMC,14,Yes,449
"Lenovo V15 G2 ITL Intel Core i5-1135G7/16 GB/512GB SSD/15.6""",New,Lenovo,MO,V15,Intel Core i5,16,512,SSD,15.6,No,699
"ASUS Chromebook CX1400CNA-BV0210 Intel Celeron N3350/8GB/32GB/14""",New,Asus,MP,Chromebook,Intel Celeron,8,32,,14,No,349
"MSI Vector GP68HX 12VH-009XES Intel Core i9-12900HX/32GB/1TB SSD/RTX 4080/16""",New,MSI,MQ,Vector,Intel Core i9,32,1000,SSD,16,No,2599
"HP 15S-fq5075ns Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,HP,MR,15S,Intel Core i5,8,512,SSD,15.6,No,579.01
"Acer Aspire 3 A315-59-56GV Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,Acer,MS,Aspire,Intel Core i5,8,512,SSD,15.6,No,749
"ASUS ExpertBook P1512CEA-EJ0083X Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,Asus,MT,ExpertBook,Intel Core i3,8,256,SSD,15.6,No,549
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16GB/512GB SSD/RTX3050/15.6""",New,Lenovo,MU,IdeaPad,AMD Ryzen 5,16,512,SSD,15.6,No,979
"ASUS ZenBook 14 OLED UM3402YA-KM513 AMD Ryzen 5 7530U/16GB/512GB SSD/14""",New,Asus,MV,ZenBook,AMD Ryzen 5,16,512,SSD,14,No,969
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i5-12500H/16GB/512GB SSD/RTX3050/15.6""",New,Lenovo,MW,IdeaPad,Intel Core i5,16,512,SSD,15.6,No,1099
"Lenovo Legion 5 15ITH6H Intel Core i5-11400H/16GB/512GB SSD/RTX3060/15.6""",New,Lenovo,MX,Legion,Intel Core i5,16,512,SSD,15.6,No,1319.01
